country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Bosnia and Herzegovina,BIH,BA,3280815,231,8,"Epidemic intelligence, national daily data",2020-07-16
Belgium,BEL,BE,11455519,635,2,"Epidemic intelligence, national daily data",2020-07-31
Hungary,HUN,HU,9772756,15,8,"Epidemic intelligence, national daily data",2020-05-26
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-02-08
Albania,ALB,AL,2862427,158,3,"Epidemic intelligence, national daily data",2020-10-07
Azerbaijan,AZE,AZ,10139175,143,2,"Epidemic intelligence, national daily data",2020-09-02
Slovakia,SVK,SK,5450421,0,0,"Epidemic intelligence, national daily data",2020-02-24
Ukraine,UKR,UA,43733759,689,21,"Epidemic intelligence, national daily data",2020-06-12
Armenia,ARM,AM,2963234,8,0,"Epidemic intelligence, national daily data",2020-03-16
Finland,FIN,FI,5517919,0,0,"Epidemic intelligence, national daily data",2020-01-22
Moldova,MDA,MD,4033963,102,2,"Epidemic intelligence, national daily data",2020-04-13
Moldova,MDA,MD,4033963,194,12,"Epidemic intelligence, national daily data",2020-08-18
Armenia,ARM,AM,2963234,291,11,"Epidemic intelligence, national daily data",2020-08-01
Portugal,PRT,PT,10276617,463,5,"Epidemic intelligence, national daily data",2020-09-23
Finland,FIN,FI,5517919,0,0,"Epidemic intelligence, national daily data",2020-02-13
Latvia,LVA,LV,1919968,3,0,"Epidemic intelligence, national daily data",2020-06-11
Bosnia and Herzegovina,BIH,BA,3280815,300,0,"Epidemic intelligence, national daily data",2020-09-13
Bosnia and Herzegovina,BIH,BA,3280815,235,12,"Epidemic intelligence, national daily data",2020-09-25
Spain,ESP,ES,46937060,1828,2,"Epidemic intelligence, national daily data",2020-07-28
Albania,ALB,AL,2862427,146,6,"Epidemic intelligence, national daily data",2020-08-15
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-07-07
Bulgaria,BGR,BG,7000039,41,5,"Epidemic intelligence, national daily data",2020-05-22
Slovakia,SVK,SK,5450421,14,0,"Epidemic intelligence, national daily data",2020-03-15
Bulgaria,BGR,BG,7000039,14,1,"Epidemic intelligence, national daily data",2020-04-13
Sweden,SWE,SE,10230185,533,11,"Epidemic intelligence, national daily data",2020-07-09
Sweden,SWE,SE,10230185,46,0,"Epidemic intelligence, national daily data",2020-03-09
Cyprus,CYP,CY,875899,2,0,"Epidemic intelligence, national daily data",2020-05-26
Sweden,SWE,SE,10230185,780,29,"Epidemic intelligence, national daily data",2020-06-07
Portugal,PRT,PT,10276617,460,9,"Epidemic intelligence, national daily data",2020-03-24
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-09-12
Norway,NOR,NO,5328212,0,0,"Epidemic intelligence, national daily data",2020-02-15
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-06-22
Cyprus,CYP,CY,875899,18,0,"Epidemic intelligence, national daily data",2020-03-19
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-08-20
Moldova,MDA,MD,4033963,691,13,"Epidemic intelligence, national daily data",2020-10-05
North Macedonia,MKD,MK,2077132,87,5,"Epidemic intelligence, national daily data",2020-09-23
